game_id,goals_h,goals_a,shots_h,shots_a,passes_h,passes_a
32375,3,3,16,25,489,648
32376,3,2,13,13,419,507
32377,3,1,15,9,335,676
32378,3,2,20,16,499,411
32379,1,1,13,14,416,349
32380,2,0,13,10,530,333
32381,2,0,20,9,739,327
32382,2,2,13,14,287,639
32383,0,2,11,6,598,381
32384,1,0,11,10,410,634
32385,0,3,15,16,391,616
32386,0,0,8,11,485,554
32387,3,1,18,10,498,484
32388,0,2,13,12,461,375
32389,2,4,29,12,535,327
32390,2,4,30,9,588,383
32391,4,0,17,15,320,562
32392,2,0,12,9,746,371
32393,5,2,14,11,587,376
32394,2,1,29,14,487,408
32395,2,4,16,20,420,658
32396,1,3,14,12,453,562
32397,1,0,15,11,774,377
32398,1,2,18,13,540,366
32399,1,5,5,22,349,820
32400,3,1,18,12,356,456
32401,1,2,18,13,528,399
32402,2,3,29,5,574,236
32403,2,2,15,15,393,474
32404,0,5,0,28,387,874
32405,0,3,8,15,408,554
32406,2,1,14,7,485,450
32407,2,0,14,25,395,664
32408,4,2,22,9,815,237
32409,5,1,16,7,518,482
32410,0,0,17,10,350,784
32411,4,2,23,12,570,307
32412,2,3,14,10,661,258
32413,0,2,6,14,433,418
32414,1,0,9,9,657,400
32415,4,0,17,8,593,412
32416,2,2,5,18,284,615
32417,1,1,18,3,745,338
32418,3,4,12,19,405,450
32419,3,5,10,24,360,604
32420,2,1,14,10,336,662
32421,1,3,19,18,437,332
32422,0,1,12,14,656,473
32423,3,3,5,24,325,881
32424,0,2,15,15,420,510
32425,3,1,24,7,819,294
32426,0,3,18,11,559,464
32427,1,1,19,8,696,357
32428,2,1,18,8,311,638
32429,5,0,24,4,719,400
32430,2,2,21,11,806,291
32431,3,1,15,10,594,457
32432,4,1,15,11,444,466
32433,0,2,10,16,470,518
32434,2,2,26,10,562,492
32435,0,2,15,11,534,490
32436,3,2,20,20,568,301
32437,2,4,17,16,429,567
32438,2,1,14,11,262,751
32439,0,6,5,19,296,772
32440,2,1,15,13,489,646
32441,0,0,16,13,426,486
32442,0,1,27,11,496,469
32443,3,1,12,15,447,590
32444,0,0,13,10,527,470
32445,2,1,17,9,557,390
32446,2,1,12,16,488,524
32447,3,0,17,10,890,273
32448,1,1,23,9,562,451
32449,7,2,20,10,604,341
32450,0,0,10,8,509,518
32451,0,2,12,7,677,350
32452,1,0,11,17,339,437
32453,1,0,19,4,485,447
32454,3,1,16,14,517,558
32455,1,1,18,3,655,299
32456,0,0,18,11,465,607
32457,1,2,15,12,302,747
32458,2,1,17,14,572,404
32459,2,3,20,13,534,301
32460,3,1,13,3,510,463
32461,0,0,13,14,643,430
32462,0,1,3,15,293,859
32463,4,3,24,9,584,414
32464,0,0,15,14,402,602
32465,3,0,31,2,899,249
32466,4,0,19,7,653,459
32467,1,0,15,11,508,492
32468,4,2,18,15,541,371
32469,0,4,8,21,397,594
32470,5,2,20,6,971,270
32471,2,0,16,15,578,592
32472,2,0,15,9,620,443
32473,1,0,12,12,547,450
32474,2,0,18,8,491,445
32475,2,2,20,11,434,600
32476,0,1,7,13,328,649
32477,3,1,19,15,483,509
32478,0,4,9,16,463,562
32479,2,0,18,12,484,462
32480,2,5,11,14,678,408
32481,3,1,11,10,468,494
32482,1,2,8,8,388,609
32483,4,2,21,2,1007,235
32484,0,1,15,9,476,476
32485,2,2,17,8,594,314
32486,1,1,14,12,545,552
32487,0,2,18,9,516,428
32488,4,1,8,9,698,422
32489,1,1,10,15,376,558
32490,3,1,7,13,649,361
32491,3,3,11,15,418,543
32492,1,2,10,15,392,731
32493,1,1,6,12,475,403
32494,4,2,20,21,508,450
32495,1,3,11,19,313,618
32496,2,1,7,12,336,683
32497,5,1,18,11,562,449
32498,4,1,22,17,446,561
32499,0,2,15,9,616,498
32500,1,1,22,11,558,256
32501,5,1,24,4,726,326
32502,3,0,15,10,455,431
32503,4,1,10,16,571,479
32504,1,2,33,8,577,272
32505,1,2,17,6,684,402
32506,6,1,9,15,326,531
32507,5,1,20,8,701,360
32508,0,1,25,12,728,303
32509,1,3,14,12,464,495
32510,0,1,9,13,465,584
32511,2,3,13,7,730,323
32512,2,2,13,15,463,469
32513,2,0,16,11,614,454
32514,0,1,14,12,506,434
32515,2,0,10,12,574,411
32516,0,1,6,25,364,679
32517,4,2,20,8,551,575
32518,0,2,20,15,471,650
32519,5,0,25,6,765,447
32520,1,0,14,13,420,414
32521,3,3,12,13,512,467
32522,4,1,26,7,625,358
32523,4,2,11,15,226,658
32524,1,0,21,8,767,397
32525,1,1,13,8,664,504
32526,0,2,13,11,528,448
32527,5,1,16,9,359,670
32528,3,2,24,7,714,297
32529,2,3,13,11,416,527
32530,2,2,24,9,722,320
32531,2,0,12,12,364,738
32532,0,2,9,8,615,414
32533,1,3,11,10,461,389
32534,3,1,10,7,638,532
32535,5,1,13,4,567,443
32536,2,1,15,10,355,681
32537,2,1,12,12,615,414
32538,1,2,9,14,419,482
32539,0,2,8,8,371,675
32540,3,2,27,11,469,498
32541,2,0,11,9,400,517
32542,3,0,17,10,529,397
32543,1,2,7,14,632,358
32544,3,0,18,13,417,532
32545,2,2,23,5,686,328
32546,4,3,29,9,765,331
32547,0,1,22,14,487,340
32548,1,0,12,13,361,592
32549,1,0,17,11,604,401
32550,1,2,12,15,358,627
32551,3,1,9,16,532,570
32552,0,1,7,4,448,561
32553,1,2,11,12,578,502
32554,0,1,21,8,448,529
32555,3,0,24,2,938,329
32556,1,2,15,6,606,309
32557,1,0,10,11,554,485
32558,0,4,16,22,596,349
32559,3,2,12,19,429,427
32560,0,0,8,7,634,346
32561,2,1,9,14,543,503
32562,2,0,11,8,612,468
32563,1,0,14,14,379,561
32564,0,0,12,13,350,556
32565,2,0,16,17,333,695
32566,0,3,15,15,610,372
32567,4,1,21,10,552,535
32568,0,2,14,7,561,439
32569,0,0,15,3,583,469
32570,0,0,5,6,560,489
32571,1,2,11,8,554,411
32572,1,2,17,9,517,501
32573,4,0,19,8,802,469
32574,5,0,24,6,610,346
32575,5,0,13,9,371,641
32576,1,1,9,14,516,617
32577,0,2,4,18,360,555
32578,2,0,10,11,466,427
32579,0,3,8,18,549,556
32580,2,2,16,5,594,214
32581,2,2,12,12,510,419
32582,0,0,13,8,521,503
32583,0,1,13,11,436,344
32584,1,1,18,10,567,456
32585,1,4,8,22,449,629
32586,0,4,21,13,421,543
32587,1,2,13,15,561,578
32588,0,3,8,16,439,599
32589,1,3,13,17,505,470
32590,0,2,15,11,340,358
32591,3,3,17,9,780,286
32592,1,2,15,8,611,271
32593,1,3,13,14,641,329
32594,0,0,10,18,519,465
32595,1,1,16,24,493,419
32596,2,2,18,4,505,494
32597,0,4,18,14,745,291
32598,1,3,13,16,632,500
32599,1,1,17,14,519,394
32600,1,0,10,14,425,567
32601,2,3,20,18,460,471
32602,2,4,24,11,497,455
32603,3,1,14,15,364,573
32604,2,2,8,22,408,487
32605,2,0,15,26,336,644
32606,1,0,10,7,414,525
32607,2,3,11,16,400,478
32608,1,1,7,19,212,797
32609,4,2,18,10,733,390
32610,3,1,18,15,467,593
32611,2,0,20,9,414,468
32612,0,2,9,10,650,285
32613,1,1,13,11,554,447
32614,0,3,12,15,503,407
32615,4,1,14,8,744,391
32616,1,0,17,18,398,563
32617,0,1,11,11,599,394
32618,1,2,6,19,325,716
32619,0,4,12,14,532,457
32620,1,0,12,9,368,597
32621,1,4,13,18,507,456
32622,0,1,10,6,538,578
32623,2,1,15,9,469,360
32624,3,1,17,10,639,337
32625,1,1,26,5,569,366
32626,1,0,14,12,361,414
32627,2,2,29,14,679,416
32628,1,2,24,12,462,422
32629,3,0,19,14,508,646
32630,2,0,8,15,325,572
32631,1,1,6,14,456,437
32632,0,0,18,8,743,287
32633,0,2,11,20,427,571
32634,1,2,12,17,514,558
32635,2,4,18,18,430,486
32636,0,0,14,8,444,535
32637,2,0,15,12,441,458
32638,3,3,14,8,597,423
32639,3,2,12,19,360,534
32640,0,4,4,20,379,797
32641,2,2,18,15,426,395
32642,2,1,12,14,579,374
32643,2,1,9,8,442,601
32644,4,4,12,13,248,851
32645,3,0,14,8,614,430
32646,1,1,10,5,547,315
32647,2,1,13,11,519,503
32648,4,0,10,7,493,580
32649,3,3,13,15,412,639
32650,4,3,22,15,296,470
32651,3,0,17,11,559,487
32652,0,1,18,7,737,329
32653,0,1,7,15,379,485
32654,1,3,27,7,651,282
32655,4,0,12,11,554,470
32656,1,1,7,4,335,665
32657,0,0,14,13,427,476
32658,2,1,13,8,588,368
32659,4,4,12,26,421,529
32660,3,3,9,22,389,623
32661,0,1,7,25,302,668
32662,2,2,17,14,423,595
32663,2,0,24,16,703,424
32664,1,4,9,21,387,501
32665,0,0,22,16,544,452
32666,3,2,14,6,695,279
32667,1,2,15,9,519,347
32668,3,4,20,8,633,407
32669,4,0,28,8,684,303
32670,1,3,11,8,485,496
32671,1,3,12,17,497,418
32672,1,2,18,5,653,402
32673,3,0,19,4,735,268
32674,1,2,9,12,461,334
32675,1,4,20,13,534,520
32676,0,4,6,14,382,740
32677,6,2,22,7,379,440
32678,2,1,21,16,571,400
32679,3,4,9,17,507,508
32680,0,2,10,11,567,440
