game_id,home_team,away_team,round,date,swapped,match_diff
32506,Holstein Kiel,Bayern München,3,"Saturday, September 14, 2024",True,58.2
32449,Eintracht Frankfurt,Bochum,9,"Saturday, November 2, 2024",False,5.35
32439,Borussia Dortmund,Union Berlin,23,"Saturday, February 22, 2025",True,16.55
32470,Bayer Leverkusen,FC Heidenheim,11,"Saturday, November 23, 2024",False,2.05
32399,RB Leipzig,Wolfsburg,12,"Saturday, November 30, 2024",False,49.1
32418,Hoffenheim,Werder Bremen,5,"Sunday, September 29, 2024",False,17.1
32659,Borussia Mönchengladbach,Hoffenheim,32,"Saturday, May 3, 2025",False,3.95
32404,Werder Bremen,Bayern München,4,"Saturday, September 21, 2024",False,5.95
32575,Freiburg,Werder Bremen,23,"Friday, February 21, 2025",False,4.05
32679,VfB Stuttgart,Bayer Leverkusen,26,"Sunday, March 16, 2025",False,14.25
32429,Bochum,Bayern München,8,"Sunday, October 27, 2024",True,14.45
32519,Bayern München,Hoffenheim,17,"Wednesday, January 15, 2025",False,3.75
32644,Union Berlin,VfB Stuttgart,30,"Saturday, April 19, 2025",False,3.65
32437,Wolfsburg,Werder Bremen,7,"Sunday, October 20, 2024",False,7.65
32602,Werder Bremen,Borussia Mönchengladbach,26,"Saturday, March 15, 2025",False,4.85
32635,Holstein Kiel,Eintracht Frankfurt,5,"Sunday, September 29, 2024",False,15.7
32522,Eintracht Frankfurt,Freiburg,17,"Tuesday, January 14, 2025",False,6.25
32432,Borussia Mönchengladbach,Holstein Kiel,14,"Saturday, December 14, 2024",False,9.7
32503,Werder Bremen,Union Berlin,15,"Saturday, December 21, 2024",False,3.55
32498,Borussia Mönchengladbach,Werder Bremen,9,"Sunday, November 3, 2024",False,11.55
32390,Bayer Leverkusen,Borussia Dortmund,33,"Sunday, May 11, 2025",False,11.95
32585,Hoffenheim,Bayer Leverkusen,3,"Saturday, September 14, 2024",False,11.05
32619,Bochum,VfB Stuttgart,28,"Saturday, April 5, 2025",False,5.45
32650,Holstein Kiel,Borussia Mönchengladbach,31,"Saturday, April 26, 2025",False,4.65
32423,Eintracht Frankfurt,Bayern München,6,"Sunday, October 6, 2024",False,3.4
32621,Freiburg,Borussia Dortmund,28,"Saturday, April 5, 2025",False,5.1
32640,FC Heidenheim,Bayern München,30,"Saturday, April 19, 2025",False,5.35
