mensagem,sentiment_manual
Gol ,2
É máfia ,1
Bascú penta série b,1
"Sané ta jogando de terno, só falta o atestado de óbito",1
Kkkkkkkkkkkkkkkkk,1
bem dms,1
esquema de apostas,1
O TERCEIRO GOL VINDO,2
wirtz dois chutes?,1
CAUSA SANTOS RESOLVEU VIRAR O CURTUOIS HOJE,1
GALOO,1
tá faltando o Léo Scienza pra fazer gol do Heidenheim!!!,2
era melhor ter deixado a bola passar que zagueiro tava nela,2
É jogaço na CazéTV! Já fez sua aposta? Vai lá na Bet7k e aposte na diversão! https://bit.ly/BET7KnaCazeTV,1
crlhhh,1
Chama o xaviiiiii,1
mds,1
1,1
VAI CURINTIA,1
qual baya ??,1
olha esse cara finalizando,1
penal,1
TER STEGEN NO BORUSSIA KKKKKKKKKKKKKK,1
bora vira,2
Gol,2
Frifrango sabe correr! Voa mulek.,0
SCIENZA É SELEÇÃO,1
mancada,1
acha mesmo que nanico psg vai ganhar do maior time do mundo a Inter?,1
golaço,2
ODD boa do City hoje,2
ROBERTO CARLOS PRA MACHUCAR TODO MUNDO E FAZER O GOL ,2
tomaram o gol se fuder,2
Aumenta o som,1
FALA DO SANE SEU BANDO DE OTARIOS PORRA,1
esse 'é o francesao kkkk,1
MANDA SALVEEE,1
Siga a CazéTV no instagram -> https://www.instagram.com/cazetv,1
inter 0x1,1
chama um golzin wolfsburg,2
Que jogo ridículo,1
vamo spezia,2
Esse jogo num tava 2 a 0 pro Bayern,1
que horas o jogo,1
"Do nada ""mbappe é pipoqueiro"" kkkkkkkk",1
Harry kanr marca 2 ou + ,1
aq é 2 gols no máximo,2
"amassando no primeiro tempo e tomando empate no segundo, mano tava muito na cara",1
santos hoje já pronto pra subir pra série A,1
Amassar é apelido,1
Gomes Tv da uma força lá galera ,1
empatou fiquei milionário,1
@crf,1
acréscimo no estilo conmebol,1
como o Coman e Gnabry perderam posição pra esse Olise pqp,0
"é incrivel harry kane corre contra a bola, corre contra a area",1
é só isso,1
Siga a CazéTV no instagram -> https://bit.ly/InstagramCazeTV,1
pode ser campeão com esse empate o Bayer?,1
vamos mas 1,2
credo,1
Baila? Esse fdd do Vini não chuta no gol,2
agora só falta mais um pra mim pegar 3500,1
Deu Green,1
